=== Emotet2 ===
Ground-truth 함수 수 (malware.json): 1

 Diff | Precision |  Recall |      F1 |  RemovedCnt | Excluded Functions
----------------------------------------------------------------------------------------------------------------------------------------------------------------
    0 |   0.00935 | 1.00000 | 0.01852 |           0 | (없음)
    1 |   0.00935 | 1.00000 | 0.01852 |          14 | MFC42.DLL::AfxGetModuleState, MFC42.DLL::AfxWinMain, MFC42.DLL::CDialog::DoModal, MFC42.DLL::CDialog::OnInitDialog, MFC42.DLL::CDialog::~CDialog, MFC42.DLL::CString::CString, MFC42.DLL::CString::~CString, MFC42.DLL::CWinApp::~CWinApp, MFC42.DLL::CWnd::OnCommand, MFC42.DLL::CWnd::PreTranslateMessage, MFC42.DLL::operator_delete, MSVCRT.DLL::_XcptFilter, MSVCRT.DLL::__dllonexit, MSVCRT.DLL::_controlfp
    2 |   0.00935 | 1.00000 | 0.01852 |          14 | MFC42.DLL::AfxGetModuleState, MFC42.DLL::AfxWinMain, MFC42.DLL::CDialog::DoModal, MFC42.DLL::CDialog::OnInitDialog, MFC42.DLL::CDialog::~CDialog, MFC42.DLL::CString::CString, MFC42.DLL::CString::~CString, MFC42.DLL::CWinApp::~CWinApp, MFC42.DLL::CWnd::OnCommand, MFC42.DLL::CWnd::PreTranslateMessage, MFC42.DLL::operator_delete, MSVCRT.DLL::_XcptFilter, MSVCRT.DLL::__dllonexit, MSVCRT.DLL::_controlfp
    3 |   0.00935 | 1.00000 | 0.01852 |          14 | MFC42.DLL::AfxGetModuleState, MFC42.DLL::AfxWinMain, MFC42.DLL::CDialog::DoModal, MFC42.DLL::CDialog::OnInitDialog, MFC42.DLL::CDialog::~CDialog, MFC42.DLL::CString::CString, MFC42.DLL::CString::~CString, MFC42.DLL::CWinApp::~CWinApp, MFC42.DLL::CWnd::OnCommand, MFC42.DLL::CWnd::PreTranslateMessage, MFC42.DLL::operator_delete, MSVCRT.DLL::_XcptFilter, MSVCRT.DLL::__dllonexit, MSVCRT.DLL::_controlfp
    4 |   0.00935 | 1.00000 | 0.01852 |          14 | MFC42.DLL::AfxGetModuleState, MFC42.DLL::AfxWinMain, MFC42.DLL::CDialog::DoModal, MFC42.DLL::CDialog::OnInitDialog, MFC42.DLL::CDialog::~CDialog, MFC42.DLL::CString::CString, MFC42.DLL::CString::~CString, MFC42.DLL::CWinApp::~CWinApp, MFC42.DLL::CWnd::OnCommand, MFC42.DLL::CWnd::PreTranslateMessage, MFC42.DLL::operator_delete, MSVCRT.DLL::_XcptFilter, MSVCRT.DLL::__dllonexit, MSVCRT.DLL::_controlfp
    5 |   0.00935 | 1.00000 | 0.01852 |          14 | MFC42.DLL::AfxGetModuleState, MFC42.DLL::AfxWinMain, MFC42.DLL::CDialog::DoModal, MFC42.DLL::CDialog::OnInitDialog, MFC42.DLL::CDialog::~CDialog, MFC42.DLL::CString::CString, MFC42.DLL::CString::~CString, MFC42.DLL::CWinApp::~CWinApp, MFC42.DLL::CWnd::OnCommand, MFC42.DLL::CWnd::PreTranslateMessage, MFC42.DLL::operator_delete, MSVCRT.DLL::_XcptFilter, MSVCRT.DLL::__dllonexit, MSVCRT.DLL::_controlfp
    6 |   0.00935 | 1.00000 | 0.01852 |          14 | MFC42.DLL::AfxGetModuleState, MFC42.DLL::AfxWinMain, MFC42.DLL::CDialog::DoModal, MFC42.DLL::CDialog::OnInitDialog, MFC42.DLL::CDialog::~CDialog, MFC42.DLL::CString::CString, MFC42.DLL::CString::~CString, MFC42.DLL::CWinApp::~CWinApp, MFC42.DLL::CWnd::OnCommand, MFC42.DLL::CWnd::PreTranslateMessage, MFC42.DLL::operator_delete, MSVCRT.DLL::_XcptFilter, MSVCRT.DLL::__dllonexit, MSVCRT.DLL::_controlfp
    7 |   0.00935 | 1.00000 | 0.01852 |          14 | MFC42.DLL::AfxGetModuleState, MFC42.DLL::AfxWinMain, MFC42.DLL::CDialog::DoModal, MFC42.DLL::CDialog::OnInitDialog, MFC42.DLL::CDialog::~CDialog, MFC42.DLL::CString::CString, MFC42.DLL::CString::~CString, MFC42.DLL::CWinApp::~CWinApp, MFC42.DLL::CWnd::OnCommand, MFC42.DLL::CWnd::PreTranslateMessage, MFC42.DLL::operator_delete, MSVCRT.DLL::_XcptFilter, MSVCRT.DLL::__dllonexit, MSVCRT.DLL::_controlfp
    8 |   0.00943 | 1.00000 | 0.01869 |          15 | MFC42.DLL::AfxGetModuleState, MFC42.DLL::AfxWinMain, MFC42.DLL::CDialog::DoModal, MFC42.DLL::CDialog::OnInitDialog, MFC42.DLL::CDialog::~CDialog, MFC42.DLL::CString::CString, MFC42.DLL::CString::~CString, MFC42.DLL::CWinApp::~CWinApp, MFC42.DLL::CWnd::OnCommand, MFC42.DLL::CWnd::PreTranslateMessage, MFC42.DLL::operator_delete, MSVCRT.DLL::_XcptFilter, MSVCRT.DLL::__dllonexit, MSVCRT.DLL::_controlfp, Unwind@00403ad0
    9 |   0.00943 | 1.00000 | 0.01869 |          15 | MFC42.DLL::AfxGetModuleState, MFC42.DLL::AfxWinMain, MFC42.DLL::CDialog::DoModal, MFC42.DLL::CDialog::OnInitDialog, MFC42.DLL::CDialog::~CDialog, MFC42.DLL::CString::CString, MFC42.DLL::CString::~CString, MFC42.DLL::CWinApp::~CWinApp, MFC42.DLL::CWnd::OnCommand, MFC42.DLL::CWnd::PreTranslateMessage, MFC42.DLL::operator_delete, MSVCRT.DLL::_XcptFilter, MSVCRT.DLL::__dllonexit, MSVCRT.DLL::_controlfp, Unwind@00403ad0
